PageNumber,Text,ISBNs
26,"Connecticut ..…. Three of the authors spoke spontaneously and
Continued from previous page strongly to the importance of the survival of inde-
pendent bookstores. It was a wonderful community
rep, Kevin Votel, gave $200 of his own money! Our event — with great readings and much positiye
HarperCollins rep, Ann Lyons, also gave a very feedback from customers. It certainly fed the heart
supportive quote to the local media in one of the of this sometimes-discouraged bookstore manag-
articles highlighting the event. er/activist! (Quick aside: Sales do not warrant the
At the Reader’s Feast, we hosted five authors: time and effort of most of our in-store booksigning
two poets (Hugh Ogden and Marilyn Waniek), a events. We are focusing more on conference tables.)
children’s book writer (Kathryn Falwell), a satirical Our next project is a handout directory of inde-
columnist/author (Colin MacEnroe) and lesbian pendent bookstores in Connecticut. We also hope to
author (Portia Carnell). We rented a small PA sys- maaken th e Coannnectincut u Indaeplen de nte Bvookesellners t Da.y O
tem and folks sat on the floor and milled around.
Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
27,"Feminist Bookstore News
By Susanna J. Sturgis
By the time the first newspaper account
appeared, the news was already circulating on the
grapevine: two fathers had challenged the presence
of two books in the library of the Oak Bluffs School,
one of five elementary schools on the island of
Martha's Vineyard, Mass. The books were Heather
Has Two Mommies and How Would You Feel If Your
Dad Was Gay?
My first two moves were to write a letter to the
editor and to order copies of both books, neither of
which was available on the island. I showed them
around at every opportunity to help correct the
impression created by their opponents, one of whom
wrote in a letter to the editor: “These books are so
destructive and so radical to a young child’s devel-
oping notions of what a healthy sexual and family
relationship should be that you would have to have
no conscience at all to not be disturbed by them.”
Martha's Vineyard (year-round population
about 15,000) has been returning Gerry Studds to
Congress by landslide margins since the early
1970s. It’s no hotbed of homophobia, but
liberal/progressive political groups are few, small,
and fragmented. The Island Lesbian and Gay
Association (ILGA) is primarily a social group with
125 members, only a handful of whom ever come
out in public. No organized opposition to the chal-
lenge was expected and none materialized. What
we had was individuals writing letters and speak-
ing up at meetings. Artist unknown. Reprinted from Progressive Librarian.
Volume 16 Number 6 25 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
28,"Feminist Bookstore News
but never used. One of the fathers made a formal While the formal process took its course, the
complaint about the two books. On Jan. 12, 1994, challenge was hotly debated in letters to the editor,
the library selection review committee — consisting principally in The Martha's Vineyard Times. Among
of two teachers, one administrator, the librarian, a the most remarkable was one signed “Name
parent, and a student — met to consider it. Withheld by Request.” The writer, who identified
About 60 islanders — among them school par- herself as a lesbian mother, had had a hard time
ents, town residents, and several members of the persuading the editor-in-chief not to publish her
ILGA — packed the school library, where librarian name. Finally he asked his wife (who with him
Jan Buhrman-Osnoss had set up a floor-to-ceiling
banned books display. “Celebrate the Bill of
Rights,” it said in big red letters against a back-
ground of newspapers. “Celebrate the Right to
Read.” Displayed on the table in front was a gener-
ous selection of banned and challenged books.
After Ms. Buhrman explained at length how
and why she had chosen the two books, the prima-
ry challenger and his allies stated their cases: the
books’ subject matter was “obscene and vulgar,”
the books condoned homosexuality, practicing
homosexuality was against state law, the books owns the paper) for her opinion. Print the letter but
were not “age-appropriate,” having them in the not the name, she said at once, and it was done.
library violated the parents’ right to privacy. Said It is worth noting that as of late January, neither
one, clad in a red satin Marine Corps jacket: the Times nor the island’s other weekly, the
“Homosexuals cannot produce children so the only Vineyard Gazette, had chosen to editorialize about
way they can keep their gay agenda going is to the issue.
recruit kids.” Although I was encouraged by the number and
eloquence of those who supported the library’s
Martha's Vineyard (year-round d be iac i s si uo rn f, a cI i n w g a s i n a n tg he er e ld e t tb ey r s t h coe l u v mir nu . l e Pn et r h h ao pm s o mph oo s- t
population about 15,000) has been important, I felt very vulnerable. I wanted to do
returning Gerry Studds to Congress by something more than write letters and speak at
meetings. I wanted reassurance that I was not alone
landslide margins since the early with my fear and my outrage. Inspired by Banned
1970s. It’s no hotbed of homophobia, Books Week, I decided to organize a public reading
but liberal/progressive political groups from banned and challenged books.
When “Right to Read” took place on January 14,
are few, small, and fragmented. despite frigid weather and icy roads, Wintertide
Coffeehouse was packed. Seventeen volunteers
The books’ supporters were less colorful but far read from 18 books, selected from the list compiled
more numerous. At a minute or so apiece, we took up by the American Library Association (ALA) and
most of an hour, talking about tolerance, the diversity including Fahrenheit 451, I Know Why the Caged Bird
of our community, the First Amendment, and the fact Sings, Our Lady of the Flowers, and The Adventures of
that many island children have relatives and/or close Huckleberry Finn. The island’s most visible gay
family friends who are lesbian or gay. Then each of activist read How Would You Feel If Your Dad Was
the committee's seven members voted publicly to Gay? I read Heather Has Two Mommies. And I
keep both books in the library. The following week recruited a Methodist minister friend to read from
the Oak Bluffs school committee voted unanimously the Bible (he chose passages dealing with David’s
to uphold the review committee's decision. bloodthirstiness and his love for Jonathan).
26
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
29,"Feminist Bookstore News
In preparing my introductory remarks, I thought Reader's Feast ...
a B o olo kt s t oa rb eo ,u t W m asy h i ny ge ta or ns Das C , a 1 f 9e 8m 1-i 1n 9i 8s 5t ). b o To hk es e “ll se er x (Lamas Continued from page 23
wars” were under way, and some women were in a have included: a retrospective art display, featuring
“you shouldn't be carrying” mood. You shouldn’t artists from our ten years of displays; initiation of a
be carrying (x) because: it mentions sadomasochism, Bonus Book Club card by which faithful customers
it says nothing about sadomasochism, it was written earn a free book at the average price of ten purchases
by a mar, it was written by Lynn Andrews, all but recorded on the free card; a kick-off weekend of
one of the authors are white, the women in the pic- activities (Oct. 1-3) which included a dinner featur-
tures are all young and thin, the author used to be a ing favorite entrees of past cafe managers, concerts
lesbian but now she’s sleeping with a man, the pub- Friday and Saturday by favorite local musicians, a
lisher broke its contract with so-and-so, it’s too vio- kids program of storytelling, facepainting and
lent, the writing sucks. clowning, and a Gospel Brunch on Sunday; an all-
In speaking, both from the stage and in press day crafts fair just outside the store featuring local
interviews beforehand, I relied heavily on FBN’s crafts folk, and a reading/signing by Sarah Dreher &
regular coverage of censorship issues, economic as ReBecca Béguin. Attendence was high at the evening
well as political. I tried to emphasize that the events and low to fair at the daytime events.
impulse to ban and censor is not confined to the reli- We formed a tenth anniversary committee of
gious right or groups whose ideas “we” don’t like. supportive community folk to pull this together.
Various resources were laid out in back: The Much of the work still fell to Carolyn Gabel and
American Library Association's 40+ page annotated myself, but the committee was very helpful in get-
“list of books some people consider dangerous”; ting media coverage (generating press releases and
1993 “Arts Censors of the Year,” published by the radio spots encouraging the writing of feature arti-
ACLU’s Arts Censorship Project; and a folder of cles in local papers).
clips about the books and the banning furnished by The other big anniversary event was our first
Alyson Publications. Copies of the ALA’s “Books “gala affair” at the Wadsworth Atheneum Museum
Challenged or Banned in 1992-93” were there for in town. Committee folk prodded us into holding an
the taking. This six-page list is a great organizing “optional black tie event” to celebrate our ten years.
tool. People were amazed, amused, and appalled Over 250 people came from all over the city —
by the variety of books on it, and by the reasons reflecting the cultural diversity of Hartford and our
they were challenged. faithful customers! — to dance to a live salsa band,
The reading (read-in?) was a smashing success in eat, play and celebrate our ten years. It was a won-
attendance and response. Several people brought derful night. We're thinking of making it a biannual
along their favorite banned books and set up dis- event and adding a program book to raise money.
plays on their tables. The well-stocked coffeehouse We're letting go of plans to hold a spring con-
kitchen ran out of almost everything, including pizza cert — not enough time or energy. But we've gotten
dough. The Martha's Vineyard Times even covered the lots of media coverage and have given out several
event with a short article and two photos. hundred bonus book cards. Business is very flat.
What next? It’s late January; the letters have We were down 1% in sales in 93. (We were down
slacked off in number though not in anti-gay viru- 3.5% in sales in 92). Now if we can only keep these
lence. Some people are horrified by their first-hand operating expenses from creeping up!
experience of right-wing hatred. Others assure me — Tollie Miller O
that it will blow over, “most people aren't like that.” Sa
The school librarian wants me to come speak to the
school faculty. My gay activist friend has suggested
that ILGA members hold an informal open house to
talk about our lives and answer questions — if
enough of us are willing to be that “out.” O
Volume 16 Number 6 27 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
30,"Spring Forwar
Bookpeop
This Spring, Bookpeople is proud to introduce hundreds of
new Feminist Theory & Women’s Studies titles to the
bookselling public from fine publishers such as Alyson, New
American Library, Saint Martin's Press, Spinsters Ink, Aunt Lute,
Naiad, and Women's Press.
books, cassettes and magazines we carry from the best of
independent and trade presses. For a complete listing of our
titles, please consult our bi-annual catalogs, Private I pro-
gram, free monthly microfiche, and specialty checklists.
In addition, our Featured Publisher program offers you a
45% discount from Bear & Company, Element Press, Newcastle
Publishing Company, The Crossing Press, Sounds True Audio and more.
For more information, please call our Order Department
at (800) 999-4650.
Order toll-free: (800) 999-4650 . Fax: (510) 632-1281
28 Volume 16 Number 6
March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
31,"Feminist Bookstore News
Taking Care of Business
By Patty Callaghan comes in and says, “I never knew you were here?”
Brigit Books Well], it’s going on five years now and I'm not hid-
den away — although I am in a small building on a
A few weeks ago I couldn't have said much busy four lane street. I don’t know where to adver-
about Brigit Books’ advertising budget since I've tise to reach these people. I'm considering a small
never had one. I've just made decisions as neces- ad around Thanksgiving in the St. Petersburg Times
sary but never had a budget per se. When it came if the budget allows.
time to renew my underwriting for The Women’s
Show on our local community radio and the cost
was 33% higher than last year, I decided to analyze
what and where I spend, and make a budget.
I have three audiences: lesbian /gay, feminist
women and perhaps women who don’t identify as
feminist, and metaphysical. I also have many
tourists from Canada as well as the U.S. who come
here for the sun or to visit relatives. So I need to
cover all these bases.
I looked at the latest ABACUS Survey from the
ABA matching Brigit Books with independent
stores that have like sales. I rounded off the average
to 2% and multiplied it by my projected sales for
1994 to come up with my advertising budget.
I was conservative in my projections. If my sales
are higher than projected I can always advertise Most Effective Ads
more or “bigger.” If my sales are lower my budget • Lesbian Connection — I've gained great recog-
isn't too high. nition from this classified ad.
I listed my audiences and the publications that ° Word of Mouth — the best as long as they're
serve them, and wrote down what was already good words.
committed or paid for 1994. I immediately saw that • Yellow Pages — expensive, but a must.
I could unemotionally drop the underwriting • Bumper Stickers — people see bumper stick-
because there wasn’t enough left over for it. And ers I sell, on other people’s cars, and ask where they
now what is left over I can better allocate during got them.
the year, balancing the dollars among my different • Free Publicity — I have to make myself keep
audiences. at it but I send press releases about everything I can
me wW hi et nh , a al tl t leh ae s t l o ac a l f e a wd v te ir mti es sin g a I w ed eo k, , i st o mp ee or npl eexes trhienakd o f s tto o arppireosp ri aaten dpu b lidcaotinon’st. O fsteene p eaodples. ©
Volume 16 Number 6 29 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
32,"Maud’s House
A novel by Sherry Roberts
0-918949-32-7, cloth, $18
6"" x 9”, 230 pages, four-color cover
Available March1994 Pub date May 1994
“If there can be such a thing as a reflective madcap comedy, Roberts has
created one with her novel....Maud’s House is a funny and angry comedy—
the best kind. And deep in the book’s most secret heart, it is about what all
great stories are always about: love and sex and death; or to put the same
ideas another way: community and need and identity.”
—Orson Scott Card, author of 70e Lost Boys
“Sherry Roberts is a writing wonder. Wow! What charm, what a whiz with
words... You'll love her characters, her world.”
—Ruth Moose, author of 7he Wreath Ribbon Quilt and Dreaming in Color
° 20,000 first printing/$20,000 marketing budget e National author tour/media interviews
o Trade and consumer advertising ° Co-op advertising s
The Adventures of Stout Mama
Sibyl James
NEW RELEASE OF THE
TRADE PAPERBACK
0-918949-33-5, paper, $9 (February)
0-918949-34-3, cloth, $14 (Now)
5.5” x 8.5”, 131 pages, four-color cover
“...a collection of lively and insightful vignettes, 45 parables that
lift the spirit and offer poignant and funny ways to help us cope with the wild dance of life.”
—Paul Pintarich, 70e Oregonian
Meet Stout Mama—a forty-something eclectic feminist and a “bewildered techno-peasant.” Stout Mama doesn’t own a
television or a computer, preferring good times to expensive goods. These droll tales of her travels, values, loves, diets, and hot
flashes will make readers laugh—and think.
©
° Over 16,000 copies sold in hardcover ° National author tour/media interviews =
o Trade and consumer advertising © Co-op advertising
Available from Inland, Ingram, Baker & Taylor, New Leaf, Moving Books, Pacific Pieline, Bookpeople,
or directly from Papier-Mache Press 1-800-927-5913 FAX 763-1422. 4A14
March 1994 30 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-918949-32-7', '0-918949-33-5', '0-918949-34-3']"
33,"Feminist Bookstore News
Publisher's Column
By Florence Howe sors in various parts of the country also began to
The Feminist Press teach what by 1970 was being called “Female
Studies,” “Feminist Studies,” and Women’s Studies.
Last fall Consortium did a survey of feminist From this experience also came the idea for The
bookstores. When asked about The Feminist Press’ Feminist Press, founded in 1970. By 1970, I knew
backlist, several stores commented that our backlist that there was a “hidden history” of women, a sub-
was “irrelevant” and “out-of-date.” I have written the merged cultural story, that needed to be reborn. I
following brief essay out of a deep belief that, if we tried my own publishers; I tried the New York
are not to lose the gains we've made over the past 30 Review of Books where I was a regular writer; I tried
years, we must continue to remember our history three publishers who wanted me to write a book on
and to recall how hard it was to begin to change the Doris Lessing. All said that my idea — a series of
maleness of literature only a quarter of a century ago. books by and about women writers and other
In the fall of 1964 I was 35 years old and search- important women in history — was a wonderful
ing for books on “growing up female” to use with
my students at Goucher College. I wanted books
written by women about women’s lives: I wound up
with Invisible Man by Ralph Ellison, Sons and Lovers
by D.H. Lawrence, The Group by Mary McCarthy,
The Awakening by Kate Chopin, Coming of Age in
Mississippi by Anne Moody and Washington Square
by Henry James. This was not a women’s studies
course: this was Freshman English and I was trying
to produce better writing, theorizing that good writ-
ing emerged from a conscious self, and that women
writers needed to understand their selves in all
respects. I was not only concerned about gender: I
knew my students were middle-class, privileged
folk, and white. Just as I could see my working-class
Jewish self more clearly poised next to them, I sus-
pectd that they would be able to see themselves
more clearly poised beside other women in the soci- For the years between 1970 and 1980 The
ety, as well as beside men. Feminist Press was virtually alone in bringing out
I taught this course, called eventually “Identity “lost” fiction by Rebecca Harding Davis, Charlotte
and Expression,” three times each year until I left Perkins Gilman, Agnes Smedley, Kate Chopin (the
Goucher in 1971. During this period other profes- Continued on page 45
Volume 16 Number 6 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
34,"Feminist Bookstore News
NORMAL SEX
by Linda Smukler
Just what is Normal Sex? ing sexual abuse. As an adult she encounters her
Linda Smukler engages the imaginative life of lesbian self in the “normal” world, moving to find
wa a ty co hu in ng g g fi or rl c h si il gd n s t r ty hi an tg w t io l l a hda ep lpt hto e r t h me a k w e o r sl ed n, se the Lpl ia nce ds a w h Ser me uw kho l e s rh e his a sn e e bds e en no t r wan is dla eti lo yn. published in
of the people, events, and fictions with which she periodicals and anthologies. Normal Sex is her
i f f rs eo o cr r re n et m am h ta eee r dis r k h ie ln ifd fgl. e u s iI dn oti h f t y aa t h es a we rnr d i i l ye l s op g uu o u tnf hic d :h ep , w r ho et es ah re re i n p ta gho u e r tm toh huos egr h n gso ee tt na ha r db ec el he res f $i $ 5rs 1t V b 8o 8o . 2k . 9. 9 55 x I I SS BB 8NN 1 ⁄ 11 2-- 5 5 6 6 833 4 84 1 1 - - 0 p0 44 a32 g-- 5 e7 s
identity of a boy, learning about shame, recogniz- February
SKIN t fh emor i n p isr to b ae cs t i vh ie sr t , e ax p ce or nie tn rc oe v e rof si a lb e sin exg ra a dl ii cf ae l- ,l o an ng d
Talking About Sex, Class a graduate of the white trash school of better
and Literature living through confrontation. With humor, pas-
by Dorothy Allison ws hio atn , it man ead ns e ton o ber m queo eu r s a n dc o hn apv pi yc t ai bo oun t itshe addresses
They don’t write much better than Dorothy Allison. in a world that is still arguing just what it means
The author of Bastard Out of Carolina (Na- to be queer.
tional Book Award Finalist), Trash (double Dorothy Allison writes with an expansive vi-
Lambda Literary Award winner), and 7e Wom- sion, a penetrating intellect, and not one shred
en Who Hate Me now gives us Skin: Talking of sentimentality. Skin: Talking About Sex, Class
About Sex, Class and Literature. and Literature brings it all home.
n ca or r mA ati bv iec s n,o e m p se rp f ne orl eml wi an n g c e v epc i reo c sl e il s oe , nc at sni do on es f sa yo s ef , a rS ka li iu n et ro b gio rg or ua np dh bi rc ea al k- $ $ 51 2 13 4 ⁄. .9 95 5 2 I I xS SB B N N 8 1 1 1 2- - 5 5 6 6 23 3 84 4 81 1- - 0 0 p4 44 5 a- - g3 1 es
ing material with riveting original work. The au- May
STAYING THE DISTANCE pulls up in her truck, Rachel’s emotional vistas
A Novel by Franci McMahon begin to widen.
Staying The Distance is a lively ride through
At last, grown-up lesbians have a novel about Rachel’s physically large but emotionally reined-
girls and horses they can call their own. in world, as this cowgirl finds out that perfec-
Staying The Distance, a literate, lovable west- tionism has its price, that invulnerability is of-
ern, is set in the big sky, ‘‘no whiners’ country ten lonely.
of Montana. Rachel Duncan is a rancher with a Both the women and horses hit their stride in
p Ea ss ps ei co in al l yf o r f o h r o r hs ee rs mas a rt eo ,u g Kh e s ta rn ed l , s sm ooa nrt ta os bs eh e t ei ss t. - F $r an c 9i . 9M 5cM a h Io Sn B’s N em in 1en -t 5ly 6 3re 4a 1da -b 0le 4 y 6a -rn X.
e dd u o rv aer n ct eh e rru ag cg eed . t Ber ura ti n wof h a e n h u n Ddr re .d - m Mile a ren g- aret Carson, $52Y02.9 5 x I S B8N1 2 1 -2506304 1 -p0a4g7e-8s
the new veterinarian just moved from back East February
March 1 Av9ailab9le t4hrou gh all3 lea2ding wholesalers.
Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1 2-- 5 5 6 6', '6 6 23 3 84 4']"
35,"Feminist Bookstore News
BooRstore Profile
in
By Beth Gunderson Things haven’t slowed
down since.
When most people think of Birmingham Alabama, Beth Gundersen,
the last thing that comes to mind is lesbian/feminist who has worked at
books! Most people think of Martin Luther King, Jr. clad Lodestar since its
in his preacher suit and sneakers marching among thou- inception, now co-
sands of protesters during the civil rights movement — owns the store with Sally. There are three other won-
or worse, of a dark figure hanging by the neck in a tree. derful women at Lodestar: Sandy Greene, Mary
Sally Engler and Beth Gundersen are part of the commu- Elkins, and Andrea Gemmill. Lodestar has been in
nity of folks who are helping to supplant our vision of the same location for all of her life, in what is known
Birmingham, and the south in general. Sally and Beth as the arts section of Birmingham, 5 pts. south. We
are the proprietors of Lodestar Books, the feminist/lesbian have about 1200 square feet and shelf space is a con-
bookstore that, by its very existence, is helping to re-cre- stant challenge. The sections sometimes feel like
ate Birmingham. Furthermore, Lodestar recognizes its accordions with their spreading out and squeezing
opportunity to be a pioneer in their community. Voices back in.
that we may take for granted in San Francisco, New In the beginning, Lodestar was a meeting place
York, Chicago and other major metropolises, are difficult for many groups: the Quaker friends, the local
tco hfinad n ing pelac es tlikhe Bairtm,in g hatmo. oLod.e st ar— is D heLlpiMng to NOW chapter, a poetry reading series and various
other organizations. This helped establish Lodestar
as a community resource, giving us an opportunity
Lodestar Books, in Birmingham, Alabama cele- to begin sponsoring conferences and gatherings
brated her 10th anniversary in 1993. Within a year focused on feminist issues. Our experience of creat-
of its opening, Sally Engler bought the store from ing a feminist bookstore has been like so many of
Linda James, who had a wonderful idea, but was yours — learning by trial and error, sharing with
drawn by other obligations further east to Atlanta. other stores, experiencing some hard times, and
Days after Sally took over Lodestar, she found her- being surrounded by lots of love, support and joy
self at the first Southern Festival in the pouring from friends, customers, and partners.
rain, holding a booksigning for Rita Mae Brown. Continued on page 48
Volume 16 Number 6 33 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
36,"Feminist Bookstore News
GROWING OLD
pt i ta
nme Gette Se NO TSn ea Q a sAAge COEP
Growing Old Disgracefully:
‘s eAN ON ue w I Ld ife eas for Getting the Most Sé es,
t of
By The Hen Co-op
Journeys To Self-Acceptance: Named 1993 Book of the Year in Gifts of Our Fathers: Heartfelt
Fat Women Speak Britain, this collection of memories, Remembrances of Fathers and
Edited by Carol A. Wiley ideas, poems and resolutions by 6 Grandfathers :
24 first-person accounts by women women between the ages of 60 and Edited by Thomas R. Verny
who have found their way out of the 75 offers new ideas for making life at Explores the bittersweet complexities of
weight-loss madness and moved to a any age more joyous and creative. the father-child relationship. Contribu-
place of self-acceptance. $10.95 Paper © ISBN 0-89594-672-6 tors include Maria Mazziotti Gillan,
$9.95 Paper * ISBN: 0-89594-656-4 20 b&w photographs Peter Such, and Marion Woodman.
When Warhol Was Still Alive Breaking Up Is Hard to Do: $10.95 Cloth ISBN 0-89359465840 • 14 b&w photos
By Margaret McMullan Stories by Women Sleeping with Dionysus:
A funny and poignant novel about Edited by Amber Coverdale Sumrall Women, Ecstasy ®& Addiction
love, AIDS, and work at a women’s These 63 stories unearth a variety of Edited by Kay Marie Porterfield
fashion magazine in New York. A feelings: humor and heartbreak, dis- Women explore the relationship be-
good read by first-time novelist Mar- belief and relief, betrayal and tween addiction and sexuality—and
garet McMullan revenge, determination to under- the joy of becoming whole again. their
$18.95 Cloth * ISBN: 0-89594-651-3 stand and survive. use of drugs, alcohol, and sex to numb
$12.95 Paper © ISBN: 0-89594-654-8 the pain of broken relationships.
$8.95 Paper * ISBN 0-89594-652-1
March 1994 34 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-89594-672-6', '0-89594-656-4', '', '0-89594-651-3', '0-89594-654-8', '0-89594-652-1']"
37,"Feminist Bookstore News
6th International Feminist Book Fair
` Plans for the Sixth International Feminist Book
Fair are moving along. Forms to book booths and
preliminary forms to reserve housing are circulat-
ing world-wide. Workshops are being scheduled,
speakers are confirming, the expected political bat-
tles are raging — business as usual in the planning
of an international feminist book fair.
INTERNATIONAL
The Fair will be held July 27 to July 31 at the . Feminist
Royal Exhibition Buildings in Melbourne, Australia.
The theme for the Fair is Indigenous, Asian, & Book Fair Inc.
Pacific Writing and Publishing. An Indigenous, . ; 27TH- 31ST JULY 1994
P sea ec ii nf gic ta hn ed dA evsi ea ln o p mW eo nm t e n o’ fs tS hup e p o fr et s t iG var lo .up is over- Great Hall
Royal Exibition Buildings
The Festival Melbourne Australia
Over 100 writers from around the world will be Indigenous, Asian &
speaking in 40 workshops and events that will be Pacific Writing
open to the public on July 29, 30, and 31. The speak-
ers are diverse in their interests, but together
promise a powerful, poetic, angry, celebratory, International Rights, Indigenous Publishing,
inspirational, daring, challenging, brilliant, good- Electronic Publishing, Threats to Feminist
humored, provocative, and insightful festival. Publishing and Bookselling, So You Want to Set Up
Topics include Land Rights/Nations vs. Your Own Feminist Press, International
Peoples, Storytelling, Ageing Positively, Lesbian Distribution, What’s on the Shelves, Advanced
Crime Fiction, Sex and Sensuality, Illegal Financial Management, New Directions in Feminist
Imaginations, Invisible Boundaries, The Politics of Publishing, and Translating.
Feminist Cartoons, Ecology, Feminism & If there are other topics you'd like to see
Indigenous Politics, Life on the Rim of the addressed, now is the time to write/call/fax the
World/Pacific Women’s Issues, Inspiring Lesbians, organizers and tell them!
and Storytelling and the Oral Tradition Among
Indigenous Women. Advance Tickets and Passes
Tickets for the public-days sessions go on sale in
Trade Day Programs late February or early March. Tickets will be avail-
Publishers, writers, booksellers, distributors, able on both a per-session basis and in the form of a
librarians, teachers, lecturers, educators, and people season pass. Exhibitors will receive two passes per
directly involved in the book trade are invited to booth.
the Trade Day programs and book-trade-only days ° Advance tickets are available at a special price
in the exhibit hall on July 27 and 28. Trade Day pro- of AUS $75 for a seasons pass. (Saves AUS $25.)
grams will include the following sessions: Selling Order these season passes from the 6IFBF office.
March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
