ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
1-55861-221-1,Under the Rose: A Confession (The Cross-Cultural Memoir Series),"Alaya, Flavia",The Feminist Press at CUNY,400,9/1/1999,Hardcover,"<p><p>an Explosive True Story Of Passion And Transgression Rendered In Exquisite Prose.</p> <h3>publishers Weekly</h3> <p>in An Emotionally Extravagant Memoir That Favors Stream Of Consciousness Over Structure, Alaya (gaetano Federici: The Artist As Historian), A Literature And Cultural History Professor At Ramapo College In N.j., Recounts Her Longstanding, Clandestine Relationship With A Roman Catholic Priest. She Brings To Life Her Italian-american Upbringing In A Large Extended Family, Capturing The Complexities Of Her Relationship With A Father Who, Hoping To Protect Her Sexual Innocence, Restricted Her Freedom. Shortly After Leaving College, She Found Both Love And Freedom In Perugia, Italy, Where She Was Living On A Fulbright Scholarship And Met Father Harry Browne, A 40-year-old Irish-american Priest. Browne Reciprocated Her Feelings, And Their Love Affair Blossomed When They Returned To New York And Became Deeply Involved In Tenant Organizing On The Upper West Side. When Alaya Became Pregnant, She Fled To Italy To Have Her Baby, So As Not To Jeopardize Her Lover's Position In The Church. She Later Relocated To New Jersey And, Through The Births Of Two More Children, Kept Their Father's Identity A Secret While Browne's Ongoing Political Activism Burnished His Reputation As A Charismatic Radical Priest. In 1970, Ill From The Demands Of Single Motherhood, Alaya Finally Told Browne Either To Live Openly With Her Or To Leave Permanently. He Chose To Live With Her, But Remained A Priest Until His Death From Leukemia 10 Years Later. Alaya Squarely Lays The Blame For Her Lover's Divided Loyalties At The Feet Of A Regressive Church. She Is Less Convincing, However, In Her Protestations That Their Domestic Situation Allowed Her The Freedom To Be Herself. B&w Photos. Author Tour. (oct.) Copyright 1999 Cahners Business Information.</p>",en,First Edition,"Height: 9.2 Inches, Length: 6.3 Inches, Weight: 1.56087281496 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/22/11/9781558612211.jpg,Success,17,22.3.4
1-55861-221-1,Under the Rose: A Confession (The Cross-Cultural Memoir Series),"Alaya, Flavia",The Feminist Press at CUNY,400,9/1/1999,Hardcover,"<p><p>an Explosive True Story Of Passion And Transgression Rendered In Exquisite Prose.</p> <h3>publishers Weekly</h3> <p>in An Emotionally Extravagant Memoir That Favors Stream Of Consciousness Over Structure, Alaya (gaetano Federici: The Artist As Historian), A Literature And Cultural History Professor At Ramapo College In N.j., Recounts Her Longstanding, Clandestine Relationship With A Roman Catholic Priest. She Brings To Life Her Italian-american Upbringing In A Large Extended Family, Capturing The Complexities Of Her Relationship With A Father Who, Hoping To Protect Her Sexual Innocence, Restricted Her Freedom. Shortly After Leaving College, She Found Both Love And Freedom In Perugia, Italy, Where She Was Living On A Fulbright Scholarship And Met Father Harry Browne, A 40-year-old Irish-american Priest. Browne Reciprocated Her Feelings, And Their Love Affair Blossomed When They Returned To New York And Became Deeply Involved In Tenant Organizing On The Upper West Side. When Alaya Became Pregnant, She Fled To Italy To Have Her Baby, So As Not To Jeopardize Her Lover's Position In The Church. She Later Relocated To New Jersey And, Through The Births Of Two More Children, Kept Their Father's Identity A Secret While Browne's Ongoing Political Activism Burnished His Reputation As A Charismatic Radical Priest. In 1970, Ill From The Demands Of Single Motherhood, Alaya Finally Told Browne Either To Live Openly With Her Or To Leave Permanently. He Chose To Live With Her, But Remained A Priest Until His Death From Leukemia 10 Years Later. Alaya Squarely Lays The Blame For Her Lover's Divided Loyalties At The Feet Of A Regressive Church. She Is Less Convincing, However, In Her Protestations That Their Domestic Situation Allowed Her The Freedom To Be Herself. B&w Photos. Author Tour. (oct.) Copyright 1999 Cahners Business Information.</p>",en,First Edition,"Height: 9.2 Inches, Length: 6.3 Inches, Weight: 1.56087281496 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/22/11/9781558612211.jpg,Success,94,22.3.4
1-55597-292-6,My Lesbian Husband: Landscapes of a Marriage,"Borich, Barrie Jean",Graywolf Press,312,8/1/1999,Hardcover,"A Memoir Of The Author's Life And Love She Shares With Her Long-term Partner, Linnea. Barrie Jean Borich.",en,First Edition,"Height: 9.84 Inches, Length: 5.84 Inches, Weight: 1.41977696728 Pounds, Width: 1.07 Inches",0,https://images.isbndb.com/covers/29/29/9781555972929.jpg,Success,17,22.3.4
1-55597-292-6,My Lesbian Husband: Landscapes of a Marriage,"Borich, Barrie Jean",Graywolf Press,312,8/1/1999,Hardcover,"A Memoir Of The Author's Life And Love She Shares With Her Long-term Partner, Linnea. Barrie Jean Borich.",en,First Edition,"Height: 9.84 Inches, Length: 5.84 Inches, Weight: 1.41977696728 Pounds, Width: 1.07 Inches",0,https://images.isbndb.com/covers/29/29/9781555972929.jpg,Success,106,22.3.4
0-89608-605-4,"Exile and Pride: Disability, Queerness and Liberation","Clare, Eli",South End Press,160,9/15/1999,Paperback,"<p class=""null1"">Contents</p>
<p><i>The Mountain</i><br>
1. Place Clearcut: Explaining the Distance Losing Home Clearcut: Brutes and Bumper Stickers Clearcut: End of the Line Clearcut: Casino<br>
2. Bodies<br>
<i>Freaks and Queers</i><br>
<i>Reading Across the Grain</i><br>
<i>Stones in My Heart, Stones in My Pockets</i></p>
<p class=""null1"">An Excerpt from <i>Exile and Pride</i> By Eli Clare</p>
<p>Draft Version: Please do not quote</p>
<p>THE MOUNTAIN</p>
<p>I: A Metaphor</p>
<p>The mountain as metaphor looms large in the lives of marginalized people, people whose bones get crushed in the grind of capitalism, patriarchy, white supremacy. How many of us have struggled up the mountain, measured ourselves against the mountain, failed on the mountain, lived in the shadow of the mountain, hit our heads on glass ceilings, tried to climb the class ladder, lost the fight against assimilation, struggled our way toward that phantom called normality?</p>
<p>We hear from the summit that the world is the best from up there. Hear that we are lazy, stupid, weak, ugly, that we live at the bottom precisely because we are those things. We decide to climb that mountain, or make a pact that our children will climb it. The climbing turns out to be unimaginably difficult. We are afraid; every time we look ahead we can find nothing remotely familiar or comfortable. We lose the trail. Our wheelchairs get stuck. We speak the wrong languages with the wrong accents, wear the wrong clothes, carry our bodies the wrong ways, ask the wrong questions, love the wrong people. And it's goddamn lonely up there on the mountain. We decide to stop climbing and build a new house right where we are. Or we decide to climb back down to the people we love where the food, the clothes, the dirt, the sidewalk, the steaming asphalt under our feet, our crutches all feel right. Or we find the path again, decide to continue climbing only to have the very people who told us how wonderful life is at the summit booby trap the trail. They burn the bridge over the impassable canyon. They redraw our topo maps so that we end up walking in circles. They send their goons-those working-class and poor people they employ as their official brutes-to push us over the edge. Maybe we get to the summit but p</p>",en,,"Height: 8.5 Inches, Length: 5.4 Inches, Weight: 0.45 Pounds, Width: 0.4 Inches",14,https://images.isbndb.com/covers/60/50/9780896086050.jpg,Success,17,22.3.4
1-55597-294-2,Northern Waters,"Grover, Jan Zita",Graywolf Press,236,9/1/1999,Paperback,"<p><P>Jan Zita Grover brings to her writing on fly fishing a fresh eye, a lyric prose style and an original and thoughtful take on the world, a combination of talents that makes <i>Northern Waters</i> one of the most engaging books on rivers, woods, and fishing I've read in a good long while.&#151;W.D. Wetherell, author of <i>One River More</i><P>Grover came to angling late and seems hell-bent on making up for lost time. But <i>Northern Waters</i> is more than just a fishing memoir. It's the chronicle of a woman profoundly and passionately engaged in the natural world. With intelligence, clarity, and considerable literary skill, Grover reminds us that the world is richer than we supposed, more complex, more fertile, more surprising&#151;and that it's time we rolled up our sleeves and got down to the messy business of being alive.&#151;Jerry Dennis, author of <i>The River Home</i><P><i>Northern Waters</i> is my favorite kind of fishing book&#58; part memoir, part history, and all engaging commentary on what makes fishermen the way we are. It is also a splendid celebration of the north woods and their often imperiled magic.&#151;Paul Schullery, author of <i>Royal Coachman</i><P>Many of us have, as Jan Zita Grover writes, submitted ourselves 'to the tutelage of waters.' But few pupils have proved so adept. Grover is a writer of uncommon gifts, as deft and graceful as she is tough-minded.&#151;Ted Leeson, co-author of <i>The Fly Tier's Benchside Reference</i><P><b>Jan Zita Grover</b> is a transplanted San Franciscan now happily living in northern Minnesota. She is also the author of <i>North Enough&#58; AIDS and Other Clear-Cuts</i>.</p> <h3>Library Journal</h3> <p>Though ostensibly about fly-fishing, this book never talks about catching fish; it is instead a detailed examination of the Midwest--written by a native Californian. Although not a spectacular writer, Grover (North Enough: AIDS and Other Clear-Cuts) does have a keen eye for nature and our impact on the environment. (The waters Grover writes about--in the north woods of Minnesota and Wisconsin--have been familiar to me for 25 years, but she surprised me with her observations.) These challenging essays primarily explore an angler's engagement with the natural world, but they also take on Great Lakes salmon stocking, lampreys, dams, and fishing in Montana (which Midwestern anglers regard as our reward for surviving our winters). Many fly-fishing converts have been driven to write about the sport; few have succeeded as well as Grover. Although there are a few glaring factual errors, this is for the most part a thought-provoking work. Recommended for all fly-fishing collections, especially those in Wisconsin and Minnesota.--Jeff Grossman, Milwaukee Area Technical Coll. Lib., Oak Creek, WI Copyright 1999 Cahners Business Information.</p>",en,First Edition,"Height: 8.7799037 Inches, Length: 5.1200685 Inches, Weight: 0.70106999316 Pounds, Width: 0.6748018 Inches",14,https://images.isbndb.com/covers/29/43/9781555972943.jpg,Success,17,22.3.4
0-87483-558-5,Widowed: Beginning Again Personally and Financially,"Trusty, Sharon, Corkern, Barry M., Crisp, Sally",August House Pub Inc,192,1999,Hardcover,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.25 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/55/88/9780874835588.jpg,Success,26,22.3.4
0-87483-576-3,In Full Bloom,"Creeden, Sharon",August House,192,1/10/2006,Hardcover,,en,First Edition,"Height: 8.74 Inches, Length: 5.91 Inches, Weight: 0.8487797087 Pounds, Width: 0.8 Inches",21.95,https://images.isbndb.com/covers/57/62/9780874835762.jpg,Success,26,22.3.4
0-9664805-0-3,The Coloring Book for Big Girls,Sudie Rakusin,Winged Willow Press,28,6/15/1998,Paperback,,en,1,,9.95,https://images.isbndb.com/covers/05/04/9780966480504.jpg,Success,27,22.3.4
0-609-60522-4,A Boy in Winter,"Chernoff, Maxine",Crown,256,9/14/1999,Hardcover,A Family Drama In Chicago Where A Boy Kills A Neighbor's Son With A Bow And Arrow. An Accident Or Something More Complex? The Neighbor Was Having An Affair With The Boy's Mother. Maxine Chernoff.,en,First Edition,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.15 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/52/26/9780609605226.jpg,Success,31,22.3.4
0-609-60522-4,A Boy in Winter,"Chernoff, Maxine",Crown,256,9/14/1999,Hardcover,A Family Drama In Chicago Where A Boy Kills A Neighbor's Son With A Bow And Arrow. An Accident Or Something More Complex? The Neighbor Was Having An Affair With The Boy's Mother. Maxine Chernoff.,en,First Edition,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.15 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/52/26/9780609605226.jpg,Success,151,22.3.4
0-609-60321-3,The Red Devil: To Hell with Cancer--and Back,"Rich, Katherine Russell",Crown,256,1999-10,Hardcover,,en,1,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.9 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/32/15/9780609603215.jpg,Success,31,22.3.4
0-609-60321-3,The Red Devil: To Hell with Cancer--and Back,"Rich, Katherine Russell",Crown,256,1999-10,Hardcover,,en,1,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.9 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/32/15/9780609603215.jpg,Success,151,22.3.4
0-517-70557-5,Tamara de Lempicka: A Life of Deco and Decadence,"Claridge, Laura",Clarkson Potter,448,9/21/1999,Hardcover,"An icon of the Jazz Age, Art Deco painter Tamara de Lempicka lived a life well worth recording. Until now, however, no one has written the story of this woman of extraordinary talent and notoriety. She was a great beauty, an aristocratic refugee of the Russian Revolution, and a frankly erotic painter who insisted upon Renaissance aesthetics, figuration, and painterly craft in modern art. The sky-high prices attached to her canvases in recent years have still not dispelled the suspicions that a woman of Lempicka's glamour and fame could be a truly serious artist. Yet the reviews of the early twentieth century tell a different story: her work was routinely singled out as competing with major figures of the School of Paris, including Léger, Laurençin, Kisling, and Picasso.
<p>In this first critical biography, Laura Claridge draws upon her exclusive access to Lempicka's family, friends, and archives to re-create the life that the painter carefully withheld even from her own daughter: the truth of her birth; her escape from Bolshevik Russia; her determination to become a New Woman; her lifelong bouts of depression; her numerous affairs with the women and men she painted; her flight from Nazi Europe via Havana; and her years in Hollywood and New York as the ""Baroness with a brush,"" all informed by the artistic integrity and social anachronism that condemned her to being written out of the canons of modern art.</p>
<p>Emblematic of '20s excess and indulgence, Tamara de Lempicka's life of great wealth, indiscriminate sexuality, and endless intrigue makes for a fascinating narrative. But her paintings have inspired fierce disagreements over issues of class, wealth, and gender in modern art, making her work ripe for critical re-evaluation.&nbsp;&nbsp;In Tamara de Lempicka: A Life of Deco and Decadence, Laura Claridge has succeeded brilliantly on both counts, bringing to light the contradictions that fueled the life and work of this provocative painter.</p>
<p>Though Paris in the early twenties certainly earned its bohemian reputation, Tamara was playing the game hard by anyone's standards. It seemed to her that she could have it all: respect, money, and sexual gratification on the side. She had arrived at the Gare du Nord only four years earlier, gifted with a painter's talent and a family history of feminine power. Encountering a cultural climate that affirmed art as a remunerative career for women, she also felt freed personally by the Modernist mantra to ""make it new"" that underwrote every aspect--trivial and profound--of daily life. She was determined to embody that icon of the age, the new woman.</p>",en,First Edition,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.95 Pounds, Width: 1.5 Inches",35,https://images.isbndb.com/covers/55/75/9780517705575.jpg,Success,32,22.3.4
0-609-80242-9,"Moosewood Restaurant Daily Special: More Than 275 Recipes for Soups, Stews, Salads and Extras",Moosewood Collective,Clarkson Potter,416,10/5/1999,Paperback,"<p>A steaming bowl of soup with fresh bread and a green salad, a tempting combo plate of crisp, complementary salads—these Daily Specials have been staples of Moosewood's ever-changing menu board since the restaurant opened its doors more than twenty-five years ago.</p>
<p>Over the years the creative chefs of the Moosewood Collective have introduced literally thousands of new soups and as many salads, all devised to showcase the fresh seasonal produce, vibrant ethnic flavors, and meatless food products that form the core of their cuisine. Now, for the first time, they have gathered the very best offerings from their vast soup and salad repertoire, as well as the ingenious extras that transform these simple dishes into world-class meals. Here are classics like Very Creamy Vegetable Chowder and Tuscan Bean Soup, as well as intriguing new creations like Caribbean Sweet Potato Coconut Soup, Golden Gazpacho, and Fennel Vichyssoise. Salads range from straightforward choices that are easy to mix and match, such as Spinach with Cilantro Cashew Dressing, Mexican Chickpea Salad, or Tunisian Carrot Salad, to satisfying one-dish meals like Broiled Tofu &amp; Sugar Snap Peas or Persian Rice &amp; Pistachio Salad. Each recipe is followed by helpful suggestions for selecting dishes so that creating well-balanced combo plates at home is a snap.</p>
<p>There are easy-to-use indexes of recipes by categories including children's favorites, quickly made, low-fat, low-carbohydrate, and vegan dishes. And each recipe has a complete nutritional breakdown, so it's simple to create menus for those with special health or dietary concerns. The section on transforming leftovers into sprightly new dishes also makes Moosewood Restaurant Daily Special a practical primer for those who want to make the most of seasonal bounty.</p>
<p>Few foods are more comforting—or satisfying—than a good soup and a well-made salad, and because many can be made ahead and served on demand, they are perfectly suited to the way we eat and live today. With more than 275 kitchen-tested recipes to fit any occasion, Moosewood Restaurant Daily Special offers years' worth of inspiration for Daily Specials every cook will be delighted to serve.</p>
<p>Moosewood Inc. and the authors of this book have donated 1 percent of their royalties from <b>Moosewood Restaurant Daily Special</b> to the community food and nutrition programs of the Greater Ithaca Activities Center (G.I.A.C.) in Ithaca, New York.</p>",en,First Edition,"Height: 9.08 Inches, Length: 7.31 Inches, Weight: 1.68874092692 Pounds, Width: 1.16 Inches",16.63,https://images.isbndb.com/covers/24/27/9780609802427.jpg,Success,32,22.3.4
