PageNumber,Text,ISBNs
21,"Feminist Bookstore News
sent a fundraising letter to 550 women from their but even the women who use them right away almost
personal mailing lists. As FBN went to press, Charis always overspend their credit.”
had received 67 responses totaling $6,000.... Yes!
And More Fun
Getting Grants/Expanding Services Gay Pride is coming, and it’s time for floats and
Sue Bennett, of Gifts of Athena (Cleveland Heights, banners, for waving those Support Feminist Book-
Ohio), e-mails, “We did a grant application to a local stores flags and handing out coupons and
lesbian organization to install a Lesbian Information store-address fliers. Inspired by that great slogan
Center (LIC) in our back room. We won't hear if we got invented at the Feminist Bookstore Strategic Planning
it until July, but it was a great learning process!” Conference in 1994, Full Circle took Pride one step
Once Upon a Time (Bloomington, Illinois) has further last year and created little zip-lock baggies
just acquired, with a local gay/lesbian bar owner, a with Hershey’s kisses, dental dams and a note stating
space for a community center that will feature theater, proudly, “Put your money where your mouth is —
film, musical entertainment as well as meeting space. Support your feminist bookstore.” (And, of course,
Tana Meldrum would like to talk to other booksellers Full Circle’s name and address.) “We tossed them to
who've managed such spaces in- or outside of their the crowd from our float and got quite a few reac-
tions!” Dorothy Holland writes.
b61o7ok91st; o r3e0s9.- 8 O28U-T3,9 9 381.1 North Main, Bloomington IL
“Bring Back the Play!”
is the Book Garden’s new rallying cry. “Our
membership program is centered on having a good
time — for us and the members. Singles mingles and
book groups are the two favorite events so far. We
feel like social directors on a cruise ship — and love
it. We're marketing ourselves silly — and enjoying
it,” Kasha Songer told FBN. Sales are swinging back
despite the two new “Pride” stores in Denver, the
invasion of the body-snatchers (I mean chain stores)
and the expansion of Tattered Cover. The Book
Garden hired a “Mev” (bookstore promotion genius)
six m Io nn st ph irs e da g o b. y Amazon, the Book Garden started Support Y So hur e SF ue pm pi on ri tst s YB oo uokstore
buying and selling used books a couple weeks after
Amazon did. “Customers love it!” is the word. The
Book Garden buys used books only on Sundays, buys Anne Frost and Mary Morell (Full Circle) were
only from the store’s best-selling areas and only buys recently in San Francisco for the gift show. “It’s worth
“the hot stuff.” “We explain,” Kasha said, “that every- going outside of your area to find things that aren't
body’s got Beebo Brinker, and our customers get it already all over town,” Anne said. And it’s probably
with no hard feelings.” Book Garden puts their used worth going every few years if you can work it into
books on computer: “We put an R — for recycled — your vacation, but it’s not worth an annual pilgrim-
in front of the ISBN and the word ‘used’ after the age. We found some interesting goddess stuff,” Mary
titles,” Kasha explained. “On Sunday night we create added, “a great series of women-pilots t-shirts, new
and receive a purchase order with all the titles and jewelry and 10 rainbow-stuff!”
prices, and print out barcode labels that we slap over
the original barcodes for high-speed, no-mistakenly- CyberStuff
charging-full-price checkout. It’s been really good for Once Upon a Time has had a Web site for about
sales. A lot of customers tuck their credit slips away, five months...(http:/ /www.outbooks.com). They're
May/June 1996 18
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
22,"Feminist Bookstore News
also planning to add a cyber-cafe station in their coffee York, NY 10018; 212-947-9277, fax 212-594-6417. The
area in the next few months. The idea is to set up 90-minute film version rents for $400; the 60-minute
customer accounts that include e-mail addresses and video rents for $125. If you know of other sources,
some on-line time for a moderate monthly fee. pass the word!
A Different Drummer ’s Web site should be up by
now. E-mail them at (ddrummer@ix.netcom.com) for Changes
the address. Alice Frier and Lee Boojamra are contemplating
selling Womankind Books, their mail-order book
NSA business, to concentrate on Rising Tide, the publish-
ing aspect of their vision and commitment to the
women-in-print movement. See “Letters” for details.
Expanding Wild Iris Bookstore in Claremont, California is
Want to stimulate sales? Bring the Final Four also for sale. “It became clear to me that the store was
(women’s basketball tournament) to town. Rising not generating enough income to pay expenses. I
Mqon’s Sue Henry reports that “We sold everything started calling people and invited them to a brain-
in the store” while the sports fans were in Charlotte. storming session for alternatives to closing the store
But Rising Moon has another, more dependable, — thirty people came to the first meeting, forty to the
way of increasing revenue: opening branch and sat- second...,” reports owner Genevieve Beenen. O
ellite stores. In addition to the main store in
Charlotte, Rising Moon ran “a weekend store” in a
local coffeehouse for nearly a year, closing the store Booksellers Want to Know:
only when the coffeehouse closed its doors perma-
nently. In November, Rising Moon opened a third If anyone else has received hate mail
store, in Wilmington, a summer tourist community made up of letters cut out of newspapers or
on the Carolina coast four hours east of Charlotte. magazines and mailed from Hawaii, please
Wilmington had previously had a gay-themed store contact FBN.
that closed at the end of the summer. Sue hired one
of women who ran that store to manage the new Moonyean wants to know if anyone knows
Rising Moon. Rising Moon Charlotte and Rising where or how to look up ISBN numbers online.
Moon Wilmington have similar stock. Ordering and “I know there's Books in Print, but it costs a
receiving is based in Charlotte and books are fortune to access. When I went to SSU for an
shipped or driven over to Wilmington as needed. Internet class I could use the school library's CD
The address for the new store is 215 Princess Street, ROM of BIP if I went to the school library but I
Wilmington NC 28401; 910-343-9106. could not access BIP via my home computer
(something to do with the library's contract
Kudos and Awards with Bowker.) I have access to dozens of library
BookWoman was voted the Best Specialty Book- holdings, but it seems few of them list the ISBN
store in the Austin Chronicle Reader ’s Poll. BookWoman number. Am I wrong? Can anybody help?” —
had “our best holiday season yet” despite still growing Moonyean (m3lake@ix.netcom.com). (Or call
into their new, expanded space. FBN and we'll pass it on.)
Programming Tana Meldrum at Once Upon a Time is look-
Several stores have mentioned having screenings ing for a book a customer described that “gives
or fundraisers (for themselves or other community names and addresses of lesbian separatist spaces
organizations) featuring A Litany for Survival: The Life around the world.” If you have a clue what was
and Work of Audre Lorde, the new film by Ada Gay on the customer’s mind, call Tana at 309-828-
Griffin and Michelle Parkerson. It’s available from 3998 or e-mail her at (OUTBOOKS@aol.com).
Third World Newsreal, 335 West 38th Street, New
19, May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
23,"Feminist Bookstore News
Everywoman’s
Almanac 1997
New Attitude: Young Women & Feminism
A spicy, spunky and fun collection of interviews by young
women aged 14 to 24, the 1997 Everywoman’s Almanac
cuts to the heart of feminist issues in young women’s lives.
These twelve young women strip back the rhetoric and dig up
their realities; they share their sorrow and their pride, and
entrust with us a sweet sensitivity of their everyday lives.
Don't miss these young women grapple with issues that will
impact their lives and ours, and shape a future of celebration,
resiliency and hope.
224 pages
sewn bound $8.95 0-88961-215-3
spiral $9.95 0-88961-216-1
Release Date: June 1996
Pushing the Limits
Disabled Dykes Produce Culture
Edited by Shelley Tremain
Pushing the Limits is path-breaking multi-media anthology
of fiction, personal narrative, poetry, song, and artwork by
disabled dykes. Taking cultural space for their language and
art, Anne-Marie Alonzo, Sherree Clark, Laura Hershey, Audre
Lorde, Mary Frances Platt, Sherry Shute, Shahnaz Stri,
Frances Yip Hoi, and others, challenge exclusionary notions
about who counts as a dyke, and subvert pervasive
stereotypes about disabled people.
$13.95 pb 0-88961-218-8 Release: October 1996
Countering the Myths
Lesbians Write About the Men in their Lives
Visit us at the Edited by Rosamund Elwin
ABA Booth 751 A daring debut collection of fiction and poetry by lesbians
about the men who share their Lives. These women strip
back the myths that lesbians have always been involved with
women, that lesbians hate men, that lesbians do not consider
sleeping with men, that lesbians have only women as
significant forces in their lives. They write with honesty,
caution, anger, sadness and love about brothers, lovers,
Available from InBook: f that eh me sr es l, v eg s.randfathers, sons, friends — even about parts of
Division of LPC $15.95 pb 0-88961-219-6 Release: November 1996
May/June 1996 20 Volume 19 Number 1
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88961-215-3', '0-88961-216-1', '0-88961-218-8', '0-88961-219-6']"
24,"Feminist Bookstore News
Amazon Bookstore:
By Mev Miller
In many ways, the contemporary women’s
movement communicates via the written word.
Access to the words and ideas of women is one of the
primary ways women’s lives are enriched, changed,
and improved and access to these ideas presumes the
ability to read.
Amazon Bookstore was founded on the belief
that all women should have access to women’s ideas male heads-of-households in the same situation.
and to writings that tell the truth about women’s lives. Nearly 40% of female single parents and 35% of
Now, in Amazon’s 25th year, Amazon staff have be- displaced homemakers have an eighth-grade educa-
gun to focus some of our energies in the area of tion or less.' Conditions that prevent or inhibit
literacy for women, believing, as we do, that all women from developing literacy skills include
women — including women who struggle with read- family obligations, violence and sexual assault,
ing — should have access to the writings of women. alcohol and drug addiction in families, lack of
transportation, child care issues, male attitudes
adult females have severely limited literacy skills, towards women, culture and tradition (especially
compared to 17% of males. Poverty among women among immigrant women), class differences and
and children continues to rise at crisis proportions oppression. Yet it is often the lack of literacy skills
and literacy, or the lack of it, is a significant factor. that keeps women trapped in these situations. As
Seventy-five percent of families with female heads- Audre Lorde wrote, “Poetry is not a luxury.”
of-households who don’t have a high school diploma It has been a year since Amazon decided to
live in poverty, compared to 34% of families with actively pursue the ways in which we, as a feminist
Illustration by Linda Bourke bookstore, could begin to address issues of literacy for
21 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
25,"Feminist Bookstore News
women. The first but least visible steps were learning ble English. And of course we wanted interesting and
what was needed and how Amazon could be helpful. thought-provoking readings — a rather large order to
Then we laid a solid foundation for this work so our fill. We found that the resources we wanted didn’t
efforts could be successful. In this short time, we have exist (surprise!), so we decided to use the poetry in
learned that several attitudes must be in place for Looking for Home: Women Writing About Exile from
these efforts to be successful: Milkweed Editions.
The first is patience. Whatever course these plans Y W
take, they will need incredible nurturing and a lot of
time. The impact will not be immediately (if ever)
known to us, so we must be willing and prepared to
let events unfold as they will. Our first new readers book group was called
The second is respect. Working with women and Women Across Cultures. It included both new read-
literacy means learning and understanding the gen- ers (women were recommended by area learning
eral issues and individual needs and not forcing centers) and experienced readers. The group met for
“goody two-shoes” agendas. a six-week session between October and December
The third is honoring limitations — both personal 1995 at Amazon. In an effort to reduce the barriers
and financial. We have had to reflect on our own that coula keep some women from participating, we
resources and talents, realistically consider staff ener- provided financial assistance for transportation,
gies for additional projects, and remember that we are childcare and books.
a small, independent business struggling with the Though only two new readers participated, we
financial margins. d generally felt that it was a successful first effort. A
second six-week session was planned for Janu-
N ary /February ‘96 but, due to inclement weather,
conflicting schedules, and no new students, this
group met only once. The time, date and process for
Since we already offer a series of reading groups involving students needs some reevaluation, but we
for women, it made sense to start two new kinds of will continue to offer new readers book groups. We are
reading groups — one for new readers and one to also looking into ways to sponsor some groups in the
educate ourselves and other women about literacy neighborhood centers, to cultivate more customer vol-
issues. unteers and to find an intern /volunteer who can do
With the assistance of the Minnesota Literacy the hours of phone calling and general coordination
Council and the cooperation of neighborhood learn- of the work involved.
ing centers we initiated a series of “new readers book N
groups” for women. The purpose of these groups is to
offer reading and discussion opportunities to women
who have already attained a certain level of reading
skill and want to further develop these skills. Partici- To educate ourselves and other women about
pants tend to be ESL students, so these groups also literacy issues, we also launched a Women and Liter-
provide practice in conversational skills and vocabu- acy Book Group, an eight-week session that met
lary development. The groups provide a relaxed and between January and March. The participants read
social atmosphere — and are free. articles and books about issues relating to literacy for
Finding reading materials to use in the groups women. The participants learned about obstacles that
proved to be more difficult than we anticipated. prevent or discourage women from obtaining and
Knowing that the participants would be from several developing their literacy skills, looked at several
countries around the world, we wanted to provide learning programs and discussed the societal values,
readings that would be relevant to their experiences. definitions and structures of literacy as they pertain to
We wanted short fiction (two to three pages at most) women. This book group will also be offered, with
from international women writers written in accessi- some modification, on an on-going basis.
May/June 1996 22
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
26,"Feminist Bookstore News
violence, raising teenagers and health issues for
1 women) and sell inexpensive books on the issues
Amazon at the workshops.
. Offer a MotherRead” program in cooperation with
the State Humanities Commission.
10. Assist with the publication of works by new
Writers.
1i. Develop and promote the availability of new
readers materials and information on women’s
literacy issues.
AR B eBOF HA We also continue to contact and meet with other
community agencies working on these issues. Prior to
S I N NHORGTH N AM E RSIGONR Amazon's efforts, the Minnesota Literacy Council had
been only peripherally concerned about literacy
This is just the beginning. When we started look- issues for women. Because of our regular contact with
ing at women’s literacy issues we read what we could this agency, they are now working to concretely
find, consulted with various literacy agencies and address women’s literacy issues and utilize Amazon
volunteers and generated a list of specific ways and our staff as resources.
Amazon can make a difference, including: We have been gratified by the high level of inter-
1. Recruit literacy volunteers from our membership / est among our customers — many have come by
customer base. simply to pickup our information packet — and we
2. Establish and maintain contact with are cultivating a growing mailing list of potential
neighborhood literacy programs, women’s volunteers. Individual customers have made finan-
shelters, organizations serving women in cial donations to aid the project. In February we held
employment transition and other appropriate an informational meeting with our customer volun-
service agencies as a way to promote our teers that stimulated additional interest and activity.
literacy programs. They will continue to meet on a regular basis and
. Create a special membership plan for new readers their priority is clear — action, not just talk. We
that offers materials at a discount. helped finance this work by donating some of the
. Create new sections for reading materials for funds from our annual Holiday Gift Basket raffle to
new readers and resources for literacy our literacy fund. We are also looking for grants to
volunteers. move this work along.
. Encourage learning centers to bring their 14
students to Amazon on field trips so that the
women will know the store is a friendly space
and a resource for their future reading needs —
and that we have affordable used books 'Statistics taken from the Laubach Literacy Action paper,
and new books about women’s needs and “By Women/For Women: A Beginning Dialogue on Women
concerns. and Literacy in the United States.”
. Fundraise for women’s literacy materials (e.g., *MotherRead/FatherRead is a program that assists
accept donations for gift-wrapping and gift parents with skills to read to/with their children. The
basket raffles). parents are provided with recommended book titles and
. Collaborate with local businesses and non-profits information on how to discuss the material with their
to finance transportation, childcare and other children. Basically, it’s providing assistance with parent-
aspects of our programs. ing skills and how to have productive and communica-
. Create workshops for women on specific issues tive/listening conversations with children by using the
of importance to new readers (e.g., preventing books as a facilitation mechanism. O
Volume 19 Number 1 23 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
27,"6 women over 60 get?
Join The Hen Co-op and Find Out!
Six vibrant women celebrate life in these delightful books that
women of all ages will find both inspirational and entertaining
NEW! THE ORIGINAL
a eu s ies
ds]
Disgracefully Yours Growing Old Disgracefully
Responding to letters from readers of their Funny and smart, this collection encourages
first book, The Hen Co-op’s new collection readers to examine their lives and risk change.
inspires women to transform their attitudes “You will feel inspired to make your own life-
annd etakses t,he paathn todwa rd cexrpanesioant, pilvayfiutl- yaff.ir m in—g dDecisaionl l tao sgr ow W old odismgraceafunlly.”
0-89594-804-4 • $14.95 • 7 X 9 « 224pp * b&w photos 0-89594-672-6 * $12.95 * 7 X 9 * 218pp * b&w photos
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-89594-804-4', '0-89594-672-6']"
28,"Feminist Bookstore News
Profile: Mother Kalis
f01 Ideas
By Kimber Williams Stacks of recent arrivals stood in columns around her,
piles of special orders waiting to be picked up.
It was the sound that caught Izzie Harbaugh’s A cocoon of women’s literature.
attention — the slight wheeze of the front door open- The Absent Body. Becoming Visible. Fertile Ground.
ing, the natural bubble of young voices. Menopausal Years. Straight Parents, Gay Children.
For a bookseller, it’s the sound of customers. The Harbaugh’s finger traced the spine of each volume, a
call to attention. gesture of gentle reassurance.
From behind the front desk, Harbaugh greeted “Let me know if I can help you find anything,”
them, a librarian imprisoned by her own books. Harbaugh called out, raking through invoices heaped
B Ei- before her.
It would have been easy to peg the young women
as browsers.
They picked over the watercolored greeting cards
and sticks of incense, thumbed through Janis Ian CDs
and “Cat Lovers Against the Bomb” calendars.
They lingered over books on feminist theory and
bumper stickers that admonished slogans such as
“It’s Never Too Late to Have a Happy Childhood.”
But in her 68 years, Harbaugh has grown stub-
born about a thing or two. And one of them is a
resistance to rush to judgment. Time and patience, she
insists, can often sell a book as well as anyone.
And sure enough. In a few minutes, Julie
Aukstkalnis was chatting with Harbaugh about a
class at the community college and a paper she was
doing on women and spirituality. Could she recom-
mend any authors?
Harbaugh already had a book in hand. “The
author is very widely known,” she confided, ringing
up the sale.
Aukstkalnis paused to admire a poster: a rough
drawing of a lumpy, wrinkled old woman — arms
25 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
29,"Feminist Bookstore News
raised in fierce triumph, the front of her loose shift It was twenty years ago that a group of women
carpeted in political buttons. Seeker of Truth. Equal decided to create Mother Kali’s Books — a fresh,
Justice. Nuclear Freeze. funky, informal center for marginalized voices that
Harbaugh smiled. “The title is ‘Her Strength is in opened its doors in a worn-out rental house at 333
Her Convictions,” she said, “She’s my favorite.” West 11th. For 17 of those years, Elizabeth Ann “Izzie”
In some ways, the woman in that poster could be Harbaugh has been a part of that bookstore.
Izzie Harbaugh. Through five moves and ongoing financial strug-
An unlikely warrior, yet a devoted radical. A gles. Against the increased competition from
woman who allowed time to shape her convictions superstores and critics who would brand feminism as
and chance to lead her through much of her life. the new “F” word.
A blue-collar hillbilly from Pennsylvania who, in A bookstore that literally grew up with the
her maturity, would find her greatest joy, and her true women’s movement, absorbing every anxious tremor
calling as a born-again liberal. of it— the trouble and the triumphs. And yet it stands.
To the outside world, a quick smile, a grandmoth- Mother Kali’s.
erly face. To those who know her, a fierce intellect, a The state's oldest feminist bookstore.
hunger for books and a passion for her own political Hardly a day goes by that she doesn’t hear the
planks: Ageism. Homelessness. Classism. Breast Can- question:
cer. Environmentalism. “Are you Mother Kali?”
And above all, a woman with an extreme commit- Harbaugh shakes her head. “I usually tell them,
ment to this work — running a nonprofit feminist politely, ‘No, I'm Izzie,” she explains. “Mother Kali is
bookstore that is a rarity and something of a relic. a Hindu goddess. I am not.”
A bookstore that, like Harbaugh, has remained a And yet in the minds of many, it is often hard to
little stubborn. separate the store from the woman who has made it
“want all pe opNle to read this hool”
S.U L
NSA
Paper. 259 Pages. $11.95
May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
30,"Feminist Bookstore News
her life’s work to keep its doors open. Blair Boulevard — a former parts room for a garage.
“The creation of the bookstore was actually very “It was in horrible physical condition,”
impulsive,” recalled Kathryn Hunt, a Seattle-based Harbaugh said. “We had no running water and a
filmmaker and Mother Kali’s founder. neighbor who hated us.”
Hunt and two friends — Marilyn Picariello and The gas heater leaked. Some people worried
Ellen Greenlaw — all arrived in Eugene from else- about its safety, but Harbaugh just laughed. They had
where, drawn to the town’s laid-back ways and fertile nothing to fear.
political climate. “There was a big crack in the wall that ran from
The gathering women’s movement already had feminism through spirituality,” she said. “We always
sptarkhed eamottio ns, ayctiones aandr he.ad lin ess in Oregon had fresh air.”
In 1975, four certificates in |
women’s studies were awarded at
the University of Oregon — the
only public institution in the state to
offer such a curriculum. Newspa-
pers called it a milestone.
“When we started, it was really
at the very beginning of the women’s
literature movement,” Hunt ex-
plained. “Women had been fighting F
to get their books published. Then all
of the sudden, there were these femi-
nist presses popping up all over. And
that’s where we began. Feminist the-
ory, lesbian literature, poetry...
“Plus, we all felt a need to make |
a place for women to gather, read
books, make connections.” Enid Lefton remembers it well. “It was the first
The trio of friends were all in their 20s. Joined by place I went to when I came to Eugene in 1977,”
Marie Mileto, they scraped together $800 to create a recalled Lefton, who hosts a Women’s Music program
bookstore. “The joke was that Ellen Greenlaw’s par- at a local radio station.
ents, unbeknownst to them, had underwritten the “That’s what you did in those days — roll into town
start-up of a feminist bookstore,” Hunt said. and check out the feminist bookstore to connect with
Around Eugene, it was among a handful of alter- people,” she said. “It remained a central point in my life.
native bookstores to emerge, with names like “The I ended up moving almost right across the street.”
Book & Tea Shop” and “Son of Koobdooga.” Lorraine Ironplow felt an immediate connection
“From the beginning, it was more than a book- with the small, struggling bookstore. “I love books,”
store,” Hunt said. “It was a place to gather, to hang said Ironplow, a local computer programmer and
Internet troubleshooter who has served on Mother
groups and gatherings.” Kali’s board of directors since the early 1980s.
The work was exhausting. The store ran as a “I love to hold them, the ideas in them, to talk to
collective, largely with volunteers. Paychecks were women about them...” she said. “The bookstore was a
often $30-a-month book credits. place for ideas — not ivory tower stuff, not slicing
“If we made $50 a month, we were lucky,” Hunt hairs in postmodernistic complicated language. Femi-
recalled. nist ideas are simply about improving women’s lives.
By the end of the first year, they were evicted. The Always have been.”
bookstore was hurriedly moved into a storefront on Over time, Hunt and her co-founders withdrew
27 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
31,"Feminist Bookstore News
from the bookstore. The work drained them and other It was the 1950s, the age of McCarthy.
interests took them elsewhere. Dozens of women in Harbaugh had long accepted that she was a
the community came in to help, including Harbaugh. lesbian. She had followed a partner to Berkeley and
“We were lucky when Ann (Izzie) stepped in as was interested in graduate studies in social work. But
manager,” Hunt said. she also was determined that the world wouldn't
“She was so solid and grounded. And she know her secret.
brought a business sense that we lacked. We were so Instead, she went to work for the Navy Department
young and idealistic. We had always looked at it as as an analyst. It was a lousy job, but a critical time.
this fun place to be, not in terms of keeping it around Throughout her life, Harbaugh had been sur-
for years to come.” rounded by conservative institutions. In time, she
By the time Izzie Harbaugh came to Mother came to see their influences on her own thinking.
Kali’s, she had found her path. But getting there had “I think the biggest radicals are people who feel
been one long, hard road. they've been lied to right and left, and I had been,”
Like others who grew up in the lush hill country Harbaugh said, “Through the years, I began to see that
of Southern Pennsylvania, Harbaugh’s family knew a a lot of things I thought were true weren't. It wasn’t
hard existence. Everyone made do, surviving on necessarily the ‘Land of the Free and the Home of the
home-grown vegetables and chickens. Brave.”
Her father was a teacher who supplemented his Like everything else about Harbaugh’s life, her
income working summers for the local tourist trade — politics “Just grew that way,” she said, “Although I
the area's main industry. think the thing that really ignited me was the Viet-
They were not happy years. Her mother was a nam War.”
Mennonite, her father an atheist, and Izzie an unrepent- Harbaugh left her job with the Navy and dove
ant tomboy. The chemistry was not successful. “My into East Bay radical politics, working with the Peace
mother felt it was her duty to make me an acceptable Center — a combination of social reformers from the
person and I wasn’t going for that,” Harbaugh said. old and the new left. The center distributed food,
The first time Harbaugh tried to run away from clothing and anti-war literature. Harbaugh was in her
home was when she was five. The last time, when she early 40s when she began participating in peace
was 18, Harbaugh headed to Pittsburgh with dreams marches — exciting times, but also frustrating.
of becoming an atomic physicist. “Did we make a difference?” she said. “Who
Instead, she took a job in the Pittsburgh steel knows?”
mills, part of the wave of women brought into facto- In time, Harbaugh yearned to leave the city.
ries during World War II. When the war ended, so did Burned out with her activism, she joined the back-to-
her income. There was a brief stint as a telephone rep the-land movement and came to Oregon, retreating to
but it didn’t pay a living wage. property near Elmira to raise chickens, goats and
Hunger and poverty led her to enlist in the Army. organic vegetables.
“I still had some patriotism, and frankly, I wanted “I decided I had had it with trying to tell people
three square meals and a roof over my head,” she said. how to live their lives,” she said. “I decided to try to
After basic training, she landed at a Colorado live my own.”
Army hospital taking histories from psychiatric Despite work against poverty and the anti-war
patients. For the first time, Harbaugh found work that movement, Harbaugh hadn’t been involved with the
allowed her to show real compassion. women’s movement at all.
“The Army was something I put up with to sur- Women’s bookstores hadn't begun to flourish,
vive,” Harbaugh explained. “But since I’ve been out, but the women’s studies program had taken foothold
I've found that I absolutely refuse to consider any at the University of Oregon. Harbaugh took a class.
direct order. I don’t even like it when people say I “It was this whole universe that I didn’t know
should do something.” was here,” she said. “I was carried away and never
After three years, Harbaugh returned to college had a relapse.”
majoring first in sociology, then psychology. That sense of discovery is what she has tried to
May/June 1996 28
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
