ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
0-911051-97-X,Evidence to the Contrary,Mitzi Alvin,Plain View Pr,,1998,Literary Collections,Paperback,,en,,,12.95,https://images.isbndb.com/covers/19/71/9780911051971.jpg,Success
0-399-23162-5,O'Sullivan Stew,"Talbott, Hudson",Putnam Juvenile,48,1999-01-25,,Hardcover,,en,Xlibrary FIRST edition.,"Height: 10.26 Inches, Length: 8.36 Inches, Weight: 0.7 Pounds, Width: 0.43 Inches",15.99,https://images.isbndb.com/covers/16/29/9780399231629.jpg,Success
0-393-04692-3,The Electrical Field,"Sakamoto, Kerri",W W Norton & Co Inc,305,1999-01-01,,Hardcover,,en,First Edition,"Height: 8.5 Inches, Length: 6 Inches, Weight: 1.03 Pounds, Width: 1.25 Inches",23.95,https://images.isbndb.com/covers/69/22/9780393046922.jpg,Success
1-892281-03-1,Brown Like Me,Noelle Lamperti,Dingman / McKay,32,2000-01-01,"African Americans, Children's Writings, American, Brown, Children's Writings",Hardcover,A Little Girl Named Noelle Tells How She Likes To Go Looking For Things That Are Brown Like Her.,en,2nd,"Height: 7.25 Inches, Length: 8 Inches, Weight: 0.55 Pounds, Width: 0.25 Inches",12.95,https://images.isbndb.com/covers/10/36/9781892281036.jpg,Success
1-882295-21-8,Fire & Flower,"Kasischke, Laura",Alice James Books,80,1998-12-15,,Paperback,"<p>Kasischke is the author of two previous collections of poems, Wild Brides and Housekeeping in a Dream and the novel Suspicious River. She teaches at Washtenaw Community College in Michigan.</p><h3>Michigan Quarterly Review</h3><p>As a poetry of the entangled passionate and familial tragedies that poets in postwar America have opted to write into the public record, I have found no collection of poems more moving or profoundly aware or skilled with intensity and restraing than this one.</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.27 Pounds, Width: 0.3 Inches",11.95,https://images.isbndb.com/covers/52/10/9781882295210.jpg,Success
0-380-97601-3,Looking for Lost Bird: A Jewish Woman Discovers Her Navajo Roots,"Melanson, Yvette, Safran, Claire",William Morrow,240,1999-03-01,,Hardcover,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.95 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/60/10/9780380976010.jpg,Success
0-465-01532-8,The Custody Wars: Why Children Are Losing The Legal Battle--and What We Can Do About It,"Mason, Mary Ann",Basic Books,288,1999-01-05,,Hardcover,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 1 Pounds, Width: 0.75 Inches",23,https://images.isbndb.com/covers/53/20/9780465015320.jpg,Success
1-56280-238-0,Change of Heart: A Novel,"Hill, Linda",Naiad Pr,149,1999,"Lesbians, Lesbians--Fiction, Closeted gays, Closeted gays--Fiction, PS3558.I392 C48 1999, 813/.54",Paperback,By Linda Hill. Also Issued Online.,en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.45 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/23/87/9781562802387.jpg,Success
0-253-21259-6,FTM: Female-to-Male Transsexuals in Society,Holly Devor,Indiana University Press,728,1999-03-01,,Paperback,"<p>""This is the most comprehensive, professional book to date on FTM transsexualism and the many aspects of their life journeys. For its volume, this book is clearly understandable and reads without excessive use of scientific and academic rhetoric, thus making the book available to a broad audience. It is nonjudgmental, nonsensational, and provocative in its honesty, interpretation, and challenge to the future of societal opinion regarding FTM gender identity."" —Journal of Sex Research</p>
<p>""Holly Devor’s exploration of the life experiences and transformations of female-to-male transsexuals richly describes a heretofore neglected topic. Her compelling description provides readers with insights that both contrast with and complement the existing literature on male-to-female transsexuals and other transgendered individuals."" —Contemporary Sociology</p>
<p>""... a landmark in the documentation of the personal lives of transsexual men."" —The Canadian Journal of Human Sexuality</p>
<p>""The book alternates specialized academic analysis with the individual studies, and should be of interest to both professionals who work with transsexuals and scholars interested in gender theory."" —Choice</p>
<p>""Writing with an intelligent and accessible style, Dr. Devor balances exposition, analysis, and excerpts from her subjects’ interviews to present a coherent picture of what social life is like for FTMs as they find their identity and learn about themselves.""Â—Jamison ""James"" Green</p>
<p>The author of the groundbreaking book Gender Blending here turns her attention to the little-known world of female-to-male transsexuals. Who are they? How do they come to know themselves as transsexual? What do they do about it? How do their families cope? Who loves them? What does it mean for the rest of us?</p>",en,2nd Printing,"Height: 9.25 Inches, Length: 6.12 Inches, Weight: 2.65 Pounds, Width: 1.84 Inches",39.95,https://images.isbndb.com/covers/25/97/9780253212597.jpg,Success
0-8130-1623-1,A River in Flood and Other Florida Stories (Florida Sand Dollar Books),,University Press of Florida,176,1998-11-03,,Paperback,"Stories On Florida Early This Century, Portraying The State As A Place Where Men Begin New Lives Rather Than End Them. Typical Is The Mayor Of Flamingo, On A Man Who Abandons The City To Become A Farmer. At Home On The Marcel Waves -- Solid Mahogany -- Goodness Gracious, Agnes -- A River In Flood -- The Mayor Of Flamingo -- Stepmother -- You Got To Go -- But You Don't Have To Come Back -- High-goal Man -- Wind Before Morning. By Marjory Stoneman Douglas ; Edited By Kevin M. Mccarthy ; [illustrations By Larry Leshan].",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.68 Pounds, Width: 0.44 Inches",17.95,https://images.isbndb.com/covers/62/38/9780813016238.jpg,Success
0-374-25323-4,Sabbathday River,"Korelitz, Jean Hanff",Farrar Straus & Giroux,504,1999,"Fiction, General",Hardcover,Jean Hanff Korelitz.,en,First Edition,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 1 Pounds, Width: 1.25 Inches",0.00,https://images.isbndb.com/covers/32/33/9780374253233.jpg,Success
1-56280-239-9,Unstrung Heart,"Sommers, Robbi",Naiad Pr,150,1999,"Poetry, American",Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.5 Inches",11.95,https://images.isbndb.com/covers/23/94/9781562802394.jpg,Success
0-609-80276-3,How to Mother a Successful Daughter: A Practical Guide to Empowering Girls from Birth to Eighteen,"Marone, Nicky",Three Rivers Press,288,1999-04-20,,Paperback,"In How to Mother a Successful Daughter, Nicky Marone, international speaker, former educator, and author of How to Father a Successful Daughter, teaches women, whether corporate executives or homemakers, how to mentor their daughters and become positive role models. The girls, then, will be better prepared for the future, having learned the emotional and intellectual skills necessary to be economically and emotionally self-sufficient. As a result of her research and workshops, Marone has developed a unique program that shows how to deal with many different real-life situations, including suggestions for mother/daughter projects and ways to combat sexist cultural messages in the media, at school, and at home. Mothers learn strategies for teaching girls ""mastery-oriented"" skills for avoiding the internalization of failure, tolerating confusion and ambiguity, and developing alternative plans to reach a goal.",en,,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.5 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/27/62/9780609802762.jpg,Success
1-891885-03-0,The Best of Radio Free Bubba,"Barnhouse, Meg, Jobe, Pat, Taylor, Kim, Phillips, Gary",Hub City Pr,192,1998-11-01,,Mass Market Paperback,,en,1,"Height: 7 Inches, Length: 5 Inches, Weight: 0.45 Pounds, Width: 0.5 Inches",13,https://images.isbndb.com/covers/50/37/9781891885037.jpg,Success
0-89281-832-8,Enhancing Fertility Naturally: Holistic Therapies for a Successful Pregnancy,"Wesson, Nicky",Healing Arts Press,192,1999-04-01,,Paperback,"<p><p>&bull; A guide to safe and inexpensive natural alternatives to often hazardous and extremely expensive conventional medical treatments for infertility. <p>&bull; Provides guidelines for using alternative therapies, diet, exercise, and relaxation techniques. <p>&bull; Explores acupuncture, reflexology, homeopathy, cranial osteopathy, aromatherapy, and herbalism. <p>&bull; Includes the personal stories of couples who have successfully conceived using these methods. <p><i>Enhancing Fertility Naturally</i> outlines ways in which you can improve your fertility through alternative therapies, diet, exercise, and relaxation techniques and avoid some of the hazards associated with conventional treatments. It discusses the most common causes of infertility and explains how to determine which therapy is most appropriate for you. In vitro fertilization, conventional medicine's most prescribed remedy for infertility problems, is expensive, dangerous, and has a success rate of only 14 percent, yet few of the one in six couples that experience infertility are aware of the effectiveness and safety provided by the wide range of alternative treatments. <p>Thoroughly researched and packed full of invaluable advice and tips, the book explores such therapies as acupuncture, reflexology, homeopathy, cranial osteopathy, aromatherapy, and herbalism. The author includes case histories for each of the therapies discussed, showing how the therapies helped couples overcome both primary and secondary infertility in order to have the baby they longed for. <p>Nicky Wesson is a member of the Association for the Improvement in Maternity Services, a National Childbirth Trust teacher, and the author of <em>Natural Mothering</em>. She lives in England.</p> <h3>Library Journal</h3> <p>Wesson (Natural Mothering, 1997) uses anonymous personal narratives to illustrate alternative medical treatment for infertility. The narratives are striking, but the evidence supporting them is uneven at best. To her credit, Wesson admits this; discussing the adverse effects of biomedical treatment, she states: ""The lack of research [in alternative treatment] means there may be drawbacks too."" More troubling is Wesson's failure to support her tone of authority. Medical citations are scattered throughout the text, but numerous extremely strong statements (e.g., that there is a ""higher incidence of spina bifida"" in IVF babies) are left completely unreferenced, perhaps with good reason; the source for this particular quote turns out not to be a clinical study but a 1987 letter to the editor of Lancet! Readers are better served by Judith Steinberg Turiel's Beyond Second Opinions: Rethinking Questions About Fertility (LJ 6/15/98), which will assist them in navigating the medical literature for themselves. Not recommended.--Catherine Arnott Smith, Predoctoral Research Fellow, Ctr. for Biomedical Informatics, Univ. of Pittsburgh Copyright 1999 Cahners Business Information.</p>",en,English Language,"Height: 8.75 Inches, Length: 5.5 Inches, Weight: 0.55 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/83/27/9780892818327.jpg,Success
1-57230-322-0,Sex and Gender Differences in Personal Relationships,"Canary, Daniel J., Emmers-Sommer, Tara M., Faulkner, Sandra L.",The Guilford Press,193,1998-10-16,"Social Psychology, Sex Differences",Paperback,"Challenging the commonly held assumption that men and women hail from different psychological and social planets, this illuminating work reexamines what the empirical research really shows about how the sexes communicate in close relationships. The volume highlights evidence of similarities - as well as differences - between the two groups, and shows that stereotypical beliefs about men and women fail to predict their actual interaction behavior. A reasoned, provocative contribution to a significant area of study, this volume synthesizes important findings for researchers, scholars, and students in communication, social psychology, marriage and family studies, and gender studies. It is a useful primary or secondary text for undergraduate and graduate courses and will also be of interest to clinicians working with individuals, couples, and families.                        <p>Challenging the commonly held assumption that men and women hail from different psychological and social planets, this illuminating work reexamines what the empirical research really shows about how the sexes communicate in close relationships. The volume demonstrates that stereotypical beliefs about men and women fail to predict their actual interaction behavior, and highlights evidence of similarities:as well as differences:between the two groups. Setting forth an integrative theory of gender differences, the authors propose that communication behavior is the means by which sex and gender role expectations are created and sustained.</p>",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.70988848364 Pounds, Width: 0.48 Inches",4.99,https://images.isbndb.com/covers/32/25/9781572303225.jpg,Success
0-7167-3091-X,The Skinny on Fat: Our Obsession With Weight Control,"Vogel, Shawna",W H Freeman & Co,264,1999,"Obesity, Weight loss, Weight Loss, RC628 .V64 1999, WD210 V64 1999, 616.3/98",Hardcover,"Not A Miracle Program For Weight Loss, The Skinny On Fat Is A Revealing Look At How The Scientific View Of Obesity Has Resulted In A New Definition Of Fat--one That Contains More Biology And Less Guilt. It Is Essential Reading For Anyone, Regardless Of Weight, Who Is Interested In Living A Healthier Life. Shawna Vogel. Includes Bibliographical References (p. 219-254) And Index.",en,1,"Height: 8 Inches, Length: 5 Inches, Weight: 0.83555197298 Pounds, Width: 0.5 Inches",0.00,https://images.isbndb.com/covers/09/10/9780716730910.jpg,Success
0-385-49094-1,Hey Ladies!: Tales and Tips for Curious Girls,Kennedy,Main Street Books,224,1999-04-20,,Paperback,"How do French women maintain such clear complexions? What do you do if you're stuck at a party and you don't know anyone? And do perky, perfect cheerleaders really go on to have happier lives than the rest of us? (The answer will surprise you.)<br>
<br>
Read on to unravel these and other mysteries of life (and to have a few laughs, too!). <i>Hey Ladies! Tales and Tips for Curious Girls</i> is former MTV star Kennedy's open letter to the teenagers of the world. Having been through any number of major adolescent catastrophes herself, she hopes to save the ladies some of the legwork by passing on the lessons she learned along the way. Using anecdotes from her own life, including the story of her momentous first kiss, she shares her hard-won wisdom on things like how to get along with your mom, feel good about your body, have a successful first date, and avoid embarrassment in the school locker room. As Kennedy says, ""Sometimes it takes a manual from a former dork to make the load a little lighter and explain the mysterious worlds of boys, substance abuse, and parental communication.""<br>
<br>
Funny, insightful, and always genuine, <i>Hey Ladies!</i> is essential reading for anyone hoping to survive life as a teenage girl.",en,First Edition,"Height: 8 Inches, Length: 6.25 Inches, Weight: 0.59965735264 Pounds, Width: 0.5 Inches",12.95,https://images.isbndb.com/covers/09/48/9780385490948.jpg,Success
0-88899-165-7,My Name Is Seepeetza,"Sterling, Shirley",Groundwood Books,126,1998-06-11,,Paperback,"<p><p>Her name was Seepeetza when she was at home with her family. But now that she's living at the Indian residential school her name is Martha Stone, and everything else about her life has changed as well. Told in the honest voice of a sixth grader, this is the story of a young Native girl forced to live in a world governed by strict nuns, arbitrary rules, and a policy against talking in her own dialect, even with her family. Seepeetza finds bright spots, but most of all she looks forward to summers and holidays at home.<p></p><h3>Publishers Weekly</h3><p>This rather desolate autobiographical novel chronicles a girl's harsh upbringing in an Indian residential school in 1950s British Columbia. Sixth-grader Seepeetza, whose name has been changed to Martha Stone, was only six when she was ripped away from her cozy family farm and plunged into a spartan existence. She and her classmates are beaten with a strap by Sister Superior and threatened not to get out of bed lest the devils grab them and ""drag us into the fires of hell."" Related as entries in Seepeetza's private journal, this book has a devastatingly simple style and conveys tiny details only a person who had been through such a school could know: ""Girls hide bread or raw carrots in their bloomer legs under the elastic. They take it out and eat it late at night when the lights are out. That's when we get really hungry."" The story breaks out of rigid notions of right and wrong-Seepeetza is fond of her father although he drinks; her parents may have sent her away, but they are loving; the nuns are cruel but sometimes inexplicably kind; Seepeetza finds moments of happiness in her dancing amid the general oppression. Though the nave tone of the journal slightly distances the reader, the smoldering intensity and unvarnished details still assume a mature sensibility on the reader's part. This title was shortlisted for the Canadian Governor General's Literary Award. Ages 10-12. (Mar.)</p>",en,Reprint,"Height: 7.52 Inches, Length: 5.02 Inches, Weight: 0.27998707274 Pounds, Width: 0.26 Inches",10.95,https://images.isbndb.com/covers/16/52/9780888991652.jpg,Success
0-451-19550-7,Judging Time (April Woo Suspense Novels),"Glass, Leslie",Signet,400,1999,,Mass Market Paperback,,en,First Printing,"Height: 6.7 Inches, Length: 4.3 Inches, Weight: 0.4 Pounds, Width: 1.12 Inches",7.5,https://images.isbndb.com/covers/55/00/9780451195500.jpg,Success
0-375-50164-9,The Velveteen Father: An Unexpected Journey to Parenthood,"Green, Jesse",Villard,242,1999-05-11,"Fatherhood, General Gay & Lesbian Biographies, Adoption, Coming Out & Family Life",Hardcover,"<br>Everything conspires against the single, childless man. Each new living thing in the world each day says: You are alone, and not getting younger.<br><br>At the age of thirty-seven, the journalist and novelist Jesse Green found his life dramatically changing when he met and fell in love with a man who had recently adopted a baby boy. Having long since made peace with his choice not to be a parent, Green now faced the shock and the responsibility of a fatherhood he had never imagined. The Velveteen Father is his candid, heartfelt, and often hilarious account of the formation and flourishing of a family.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>In intimate, graceful prose, Green describes his partner's journey from the hedonistic eighties to the realization that he wanted to have a child; his own concurrent journey to find a way to become an adult without having a child; and their journey together to become good parents in a society whose reactions to unconventional families can be both funny and frightening.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>In the classic bedtime story, a velveteen rabbit is made real at last by a child's true love. <i>The Velveteen FatherM</i> is a moving record of the transformative effect parenthood can have on people who least expect to become parents, of how we are repeatedly made anew by the love of children who need us. But this transformation is not just the province of parents, Green writes; only by addressing, in some way, the generations that come before and after us can we face the task of becoming real. The Velveteen Father will therefore interest anyone who has considered-or would consider-having achild.",en,1,"Height: 9.75 Inches, Length: 6 Inches, Weight: 1.05 Pounds, Width: 1.25 Inches",1.99,https://images.isbndb.com/covers/16/47/9780375501647.jpg,Success
0-253-33447-0,"Gender, Race, and Politics in the Midwest: Black Club Women in Illinois (Blacks in the Diaspora)","Hendricks, Wanda A.",Indiana University Press,184,1998-10-22,"African American Women, Societies And Clubs, History, Political Activity, African Americans, Social Conditions, Politics And Government, Race Relations",Hardcover,"The Movement To Organize Race Women -- Loyalty To Women And Justice To Children: The Illinois Federation Of Colored Women's Clubs -- Agents Of Social Welfare -- Race Riots, The Naacp, And Female Suffrage: The National Movement -- I Am Doing It For The Future Benefit Of My Whole Race: Agents Of Political Inclusion -- The Politics Of Race: Chicago -- To Fill A Reported Industrial Need: The Great Migration, Race Women, And The End Of An Era. Wanda A. Hendricks. Includes Bibliographical References (p. [133]-153) And Index.",en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.84216584084 Pounds, Width: 0.86 Inches",27.95,https://images.isbndb.com/covers/44/73/9780253334473.jpg,Success
0-452-27971-2,Invisible Writer: A Biography of Joyce Carol Oates,"Johnson, Greg",Plume,512,1999-04-01,,Paperback,"Granted privileged access to Joyce Carol Oates's letters and journals, as well as extensive interviews with family, friends, colleagues, and Oates herself, biographer Greg Johnson examines the relationship between Oates's life and work in this fascinating exploration of a complex and gifted artist. Johnson reveals little-known facts about Oates's personal and family history and debunks many of the myths that have arisen about this brilliant, enigmatic woman. Johnson takes readers from Oates's impoverished childhood in upstate New York and the birth of her autistic sister through Oates's studies at Syracuse University, where her talent was immediately recognized, to the full breadth of her astonishingly productive career. His astute examination of Oates's novels, short stories, and plays demonstrates how her art has been informed by her life.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.25 Pounds, Width: 1.25 Inches",1.99,https://images.isbndb.com/covers/97/11/9780452279711.jpg,Success
0-446-67535-0,"Generation Queer: A Gay Man's Quest for Hope, Love, and Justice","Paris, Bob",Grand Central Publishing,208,1999-06-01,,Paperback,,en,,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.45 Pounds, Width: 0.625 Inches",13.99,https://images.isbndb.com/covers/53/52/9780446675352.jpg,Success
